id,date,hour,flag,raw_data
392,2017-05-24,07,21,fc000105210bc8ff18
392,2017-05-24,07,21,fc000105210bc8ff18
392,2017-05-24,07,02,fc000105020bce001d
395,2017-05-24,07,02,fc000105020b870024
392,2017-05-24,07,02,fc000105020bce001d
395,2017-05-24,07,02,fc000105020b870024
392,2017-05-24,07,22,fc000105220bb20019
395,2017-05-24,07,22,fc000105220b710020
392,2017-05-24,07,22,fc000105220bb20019
395,2017-05-24,07,22,fc000105220b710020
392,2017-05-24,07,21,fc000105210bc65619
392,2017-05-24,07,21,fc000105210bc65619
392,2017-05-24,07,23,fc000105230bc66219
392,2017-05-24,07,23,fc000105230bc66219
392,2017-05-24,07,23,fc000105230bce5f19
392,2017-05-24,07,23,fc000105230bce5f19
392,2017-05-24,07,23,fc000105230bce6219
392,2017-05-24,07,23,fc000105230bce6219
392,2017-05-24,07,23,fc000105230bc86219
392,2017-05-24,07,23,fc000105230bc86219
392,2017-05-24,07,23,fc000105230bc25f19
392,2017-05-24,07,23,fc000105230bc25f19
392,2017-05-24,07,23,fc000105230bd05f19
392,2017-05-24,07,23,fc000105230bd05f19
392,2017-05-24,07,23,fc000105230bc66019
392,2017-05-24,07,23,fc000105230bc66019
395,2017-05-24,07,21,fc000105210b87ff20
395,2017-05-24,07,21,fc000105210b87ff20
392,2017-05-24,07,02,fc000105020bc6001d
392,2017-05-24,07,02,fc000105020bc6001d
395,2017-05-24,07,02,fc000105020b7d0024
395,2017-05-24,07,02,fc000105020b7d0024
392,2017-05-24,07,02,fc000105020bc0001e
392,2017-05-24,07,02,fc000105020ba1001e
392,2017-05-24,07,02,fc000105020ba1001e
395,2017-05-24,07,22,fc000105220b870020
392,2017-05-24,07,02,fc000105020baa001e
395,2017-05-24,07,22,fc000105220b870020
392,2017-05-24,07,02,fc000105020bb4001e
392,2017-05-24,07,02,fc000105020bbe001e
392,2017-05-24,07,02,fc000105020bbe001e
392,2017-05-24,07,02,fc000105020bc4001f
392,2017-05-24,07,02,fc000105020bc4001f
392,2017-05-24,07,02,fc000105020bb4001f
392,2017-05-24,07,02,fc000105020bb4001f
392,2017-05-24,07,02,fc000105020baa001f
392,2017-05-24,07,02,fc000105020baa001f
392,2017-05-24,07,02,fc000105020ba1001f
392,2017-05-24,07,02,fc000105020ba1001f
392,2017-05-24,07,02,fc000105020bb00020
392,2017-05-24,07,02,fc000105020bb00020
392,2017-05-24,07,22,fc000105220bb0001c
392,2017-05-24,07,22,fc000105220bb0001c
392,2017-05-24,07,21,fc000105210baa2c1c
392,2017-05-24,07,21,fc000105210baa2c1c
392,2017-05-24,07,23,fc000105230bb2ef1c
392,2017-05-24,07,23,fc000105230bb2ef1c
392,2017-05-24,07,23,fc000105230baafb1c
392,2017-05-24,07,23,fc000105230baafb1c
392,2017-05-24,07,23,fc000105230bba401c
392,2017-05-24,07,23,fc000105230bba401c
392,2017-05-24,07,20,fc000105200bbe0b1c
392,2017-05-24,07,20,fc000105200bbe0b1c
392,2017-05-24,07,22,fc000105220bb80a1c
392,2017-05-24,07,22,fc000105220bb80a1c
392,2017-05-24,07,22,fc000105220ba80b1c
392,2017-05-24,07,22,fc000105220ba80b1c
392,2017-05-24,07,22,fc000105220bb81e1c
392,2017-05-24,07,22,fc000105220bb81e1c
392,2017-05-24,07,22,fc000105220ba51d1c
392,2017-05-24,07,22,fc000105220ba51d1c
392,2017-05-24,07,02,fc000105020bae0020
392,2017-05-24,07,22,fc000105220bac001d
392,2017-05-24,07,22,fc000105220bac001d
392,2017-05-24,07,21,fc000105210ba51e1d
392,2017-05-24,08,23,fc000105230ba6251d
392,2017-05-24,08,23,fc000105230ba6251d
392,2017-05-24,08,23,fc000105230ba5251d
392,2017-05-24,08,23,fc000105230ba5251d
392,2017-05-24,08,23,fc000105230bb60b1d
392,2017-05-24,08,23,fc000105230bb60b1d
392,2017-05-24,08,20,fc000105200bb40c1d
392,2017-05-24,08,02,fc000105020ba60022
392,2017-05-24,08,02,fc000105020ba60022
392,2017-05-24,08,22,fc000105220ba6001e
392,2017-05-24,08,22,fc000105220ba6001e
392,2017-05-24,08,21,fc000105210baed21d
392,2017-05-24,08,20,fc000105200bae001e
392,2017-05-24,08,20,fc000105200bae001e
392,2017-05-24,08,21,fc000105210bb40f1e
392,2017-05-24,08,21,fc000105210bb40f1e
395,2017-05-24,08,02,fc000105020b770024
395,2017-05-24,08,02,fc000105020b770024
395,2017-05-24,08,22,fc000105220b710021
395,2017-05-24,08,22,fc000105220b710021
392,2017-05-24,08,20,fc000105200bb2001d
392,2017-05-24,08,20,fc000105200bb2001d
395,2017-05-24,08,21,fc000105210b7d2720
392,2017-05-24,09,21,fc000105210bb6381d
392,2017-05-24,09,21,fc000105210bb6381d
392,2017-05-24,09,20,fc000105200ba3001c
392,2017-05-24,09,20,fc000105200ba3001c
392,2017-05-24,09,21,fc000105210bb8b21c
