id,time,data
0000000000000392,2017-05-24 07:35:00,fc000105210bc8ff18
0000000000000392,2017-05-24 07:35:03,fc000105210bc8ff18
0000000000000392,2017-05-24 07:37:35,fc000105020bce001d
0000000000000395,2017-05-24 07:37:36,fc000105020b870024
0000000000000392,2017-05-24 07:37:38,fc000105020bce001d
0000000000000395,2017-05-24 07:37:39,fc000105020b870024
0000000000000392,2017-05-24 07:37:55,fc000105220bb20019
0000000000000395,2017-05-24 07:37:56,fc000105220b710020
0000000000000392,2017-05-24 07:37:59,fc000105220bb20019
0000000000000395,2017-05-24 07:37:59,fc000105220b710020
0000000000000392,2017-05-24 07:38:32,fc000105210bc65619
0000000000000392,2017-05-24 07:38:35,fc000105210bc65619
0000000000000392,2017-05-24 07:38:43,fc000105230bc66219
0000000000000392,2017-05-24 07:38:46,fc000105230bc66219
0000000000000392,2017-05-24 07:38:53,fc000105230bce5f19
0000000000000392,2017-05-24 07:38:56,fc000105230bce5f19
0000000000000392,2017-05-24 07:39:03,fc000105230bce6219
0000000000000392,2017-05-24 07:39:06,fc000105230bce6219
0000000000000392,2017-05-24 07:39:13,fc000105230bc86219
0000000000000392,2017-05-24 07:39:16,fc000105230bc86219
0000000000000392,2017-05-24 07:39:23,fc000105230bc25f19
0000000000000392,2017-05-24 07:39:26,fc000105230bc25f19
0000000000000392,2017-05-24 07:39:33,fc000105230bd05f19
0000000000000392,2017-05-24 07:39:36,fc000105230bd05f19
0000000000000392,2017-05-24 07:39:43,fc000105230bc66019
0000000000000392,2017-05-24 07:39:46,fc000105230bc66019
0000000000000395,2017-05-24 07:48:21,fc000105210b87ff20
0000000000000395,2017-05-24 07:48:24,fc000105210b87ff20
0000000000000392,2017-05-24 07:48:30,fc000105020bc6001d
0000000000000392,2017-05-24 07:48:33,fc000105020bc6001d
0000000000000395,2017-05-24 07:48:36,fc000105020b7d0024
0000000000000395,2017-05-24 07:48:40,fc000105020b7d0024
0000000000000392,2017-05-24 07:48:45,fc000105020bc0001e
0000000000000392,2017-05-24 07:48:49,fc000105020ba1001e
0000000000000392,2017-05-24 07:48:53,fc000105020ba1001e
0000000000000395,2017-05-24 07:48:57,fc000105220b870020
0000000000000392,2017-05-24 07:49:00,fc000105020baa001e
0000000000000395,2017-05-24 07:49:00,fc000105220b870020
0000000000000392,2017-05-24 07:49:05,fc000105020bb4001e
0000000000000392,2017-05-24 07:49:28,fc000105020bbe001e
0000000000000392,2017-05-24 07:49:31,fc000105020bbe001e
0000000000000392,2017-05-24 07:49:38,fc000105020bc4001f
0000000000000392,2017-05-24 07:49:42,fc000105020bc4001f
0000000000000392,2017-05-24 07:49:47,fc000105020bb4001f
0000000000000392,2017-05-24 07:49:50,fc000105020bb4001f
0000000000000392,2017-05-24 07:52:51,fc000105020baa001f
0000000000000392,2017-05-24 07:52:55,fc000105020baa001f
0000000000000392,2017-05-24 07:53:08,fc000105020ba1001f
0000000000000392,2017-05-24 07:53:11,fc000105020ba1001f
0000000000000392,2017-05-24 07:53:28,fc000105020bb00020
0000000000000392,2017-05-24 07:53:31,fc000105020bb00020
0000000000000392,2017-05-24 07:53:48,fc000105220bb0001c
0000000000000392,2017-05-24 07:53:51,fc000105220bb0001c
0000000000000392,2017-05-24 07:54:04,fc000105210baa2c1c
0000000000000392,2017-05-24 07:54:07,fc000105210baa2c1c
0000000000000392,2017-05-24 07:54:15,fc000105230bb2ef1c
0000000000000392,2017-05-24 07:54:18,fc000105230bb2ef1c
0000000000000392,2017-05-24 07:54:25,fc000105230baafb1c
0000000000000392,2017-05-24 07:54:28,fc000105230baafb1c
0000000000000392,2017-05-24 07:54:35,fc000105230bba401c
0000000000000392,2017-05-24 07:54:38,fc000105230bba401c
0000000000000392,2017-05-24 07:54:40,fc000105200bbe0b1c
0000000000000392,2017-05-24 07:54:43,fc000105200bbe0b1c
0000000000000392,2017-05-24 07:54:45,fc000105220bb80a1c
0000000000000392,2017-05-24 07:54:48,fc000105220bb80a1c
0000000000000392,2017-05-24 07:54:55,fc000105220ba80b1c
0000000000000392,2017-05-24 07:54:58,fc000105220ba80b1c
0000000000000392,2017-05-24 07:55:05,fc000105220bb81e1c
0000000000000392,2017-05-24 07:55:08,fc000105220bb81e1c
0000000000000392,2017-05-24 07:55:15,fc000105220ba51d1c
0000000000000392,2017-05-24 07:55:18,fc000105220ba51d1c
0000000000000392,2017-05-24 07:58:38,fc000105020bae0020
0000000000000392,2017-05-24 07:58:54,fc000105220bac001d
0000000000000392,2017-05-24 07:58:58,fc000105220bac001d
0000000000000392,2017-05-24 07:59:58,fc000105210ba51e1d
0000000000000392,2017-05-24 08:00:09,fc000105230ba6251d
0000000000000392,2017-05-24 08:00:12,fc000105230ba6251d
0000000000000392,2017-05-24 08:00:19,fc000105230ba5251d
0000000000000392,2017-05-24 08:00:22,fc000105230ba5251d
0000000000000392,2017-05-24 08:00:29,fc000105230bb60b1d
0000000000000392,2017-05-24 08:00:32,fc000105230bb60b1d
0000000000000392,2017-05-24 08:00:34,fc000105200bb40c1d
0000000000000392,2017-05-24 08:00:51,fc000105020ba60022
0000000000000392,2017-05-24 08:00:55,fc000105020ba60022
0000000000000392,2017-05-24 08:01:11,fc000105220ba6001e
0000000000000392,2017-05-24 08:01:15,fc000105220ba6001e
0000000000000392,2017-05-24 08:04:18,fc000105210baed21d
0000000000000392,2017-05-24 08:10:12,fc000105200bae001e
0000000000000392,2017-05-24 08:10:15,fc000105200bae001e
0000000000000392,2017-05-24 08:18:57,fc000105210bb40f1e
0000000000000392,2017-05-24 08:19:00,fc000105210bb40f1e
0000000000000395,2017-05-24 08:32:06,fc000105020b770024
0000000000000395,2017-05-24 08:32:09,fc000105020b770024
0000000000000395,2017-05-24 08:32:26,fc000105220b710021
0000000000000395,2017-05-24 08:32:29,fc000105220b710021
0000000000000392,2017-05-24 08:48:09,fc000105200bb2001d
0000000000000392,2017-05-24 08:48:12,fc000105200bb2001d
0000000000000395,2017-05-24 08:49:36,fc000105210b7d2720
0000000000000392,2017-05-24 09:08:12,fc000105210bb6381d
0000000000000392,2017-05-24 09:08:15,fc000105210bb6381d
0000000000000392,2017-05-24 09:17:57,fc000105200ba3001c
0000000000000392,2017-05-24 09:18:00,fc000105200ba3001c
0000000000000392,2017-05-24 09:20:39,fc000105210bb8b21c
0000000000000392,2017-05-24 09:20:42,fc000105210bb8b21c
0000000000000392,2017-05-24 09:36:48,fc000105200ba6001c
0000000000000392,2017-05-24 09:36:51,fc000105200ba6001c
0000000000000392,2017-05-24 09:39:33,fc000105210ba5a51c
0000000000000392,2017-05-24 09:39:36,fc000105210ba5a51c
